ds,y
06-05-2023,179.58
06-06-2023,179.21
06-07-2023,177.82
06-08-2023,180.57
06-09-2023,180.96
06-10-2023,183.79
06-11-2023,183.31
06-12-2023,183.95
06-13-2023,186.01
06-14-2023,184.92
06-15-2023,185.01
06-16-2023,183.96
06-17-2023,187
06-18-2023,186.68
06-19-2023,185.27
06-20-2023,188.06
06-21-2023,189.25
06-22-2023,189.59
06-23-2023,193.97
06-24-2023,192.46
06-25-2023,191.33
06-26-2023,191.81
06-27-2023,190.68
06-28-2023,188.61
06-29-2023,188.08
06-30-2023,189.77
07-01-2023,190.54
07-02-2023,190.69
07-03-2023,193.99
07-04-2023,193.73
07-05-2023,195.1
07-06-2023,193.13
07-07-2023,191.94
07-08-2023,192.75
07-09-2023,193.62
07-10-2023,194.5
07-11-2023,193.22
07-12-2023,195.83
07-13-2023,196.45
07-14-2023,195.61
07-15-2023,192.58
07-16-2023,191.17
07-17-2023,181.99
07-18-2023,178.85
07-19-2023,179.8
07-20-2023,178.19
07-21-2023,177.97
07-22-2023,177.79
07-23-2023,179.46
07-24-2023,177.45
07-25-2023,176.57
07-26-2023,174
07-27-2023,174.49
07-28-2023,175.84
07-29-2023,177.23
07-30-2023,181.12
07-31-2023,176.38
08-01-2023,178.61
08-02-2023,180.19
08-03-2023,184.12
08-04-2023,187.65
08-05-2023,187.87
08-06-2023,189.46
08-07-2023,189.7
08-08-2023,182.91
08-09-2023,177.56
08-10-2023,178.18
08-11-2023,179.36
08-12-2023,176.3
08-13-2023,174.21
08-14-2023,175.74
08-15-2023,175.01
08-16-2023,177.97
08-17-2023,179.07
08-18-2023,175.49
08-19-2023,173.93
08-20-2023,174.79
08-21-2023,176.08
08-22-2023,171.96
08-23-2023,170.43
08-24-2023,170.69
08-25-2023,171.21
08-26-2023,173.75
08-27-2023,172.4
08-28-2023,173.66
08-29-2023,174.91
08-30-2023,177.49
08-31-2023,178.99
09-01-2023,178.39
09-02-2023,179.8
09-03-2023,180.71
09-04-2023,178.85
09-05-2023,178.72
09-06-2023,177.15
09-07-2023,175.84
09-08-2023,175.46
09-09-2023,172.88
09-10-2023,173
09-11-2023,173.44
09-12-2023,171.1
09-13-2023,166.89
09-14-2023,168.22
09-15-2023,170.29
09-16-2023,170.77
09-17-2023,173.97
09-18-2023,177.57
09-19-2023,176.65
09-20-2023,179.23
09-21-2023,181.82
09-22-2023,182.89
09-23-2023,182.41
09-24-2023,186.4
09-25-2023,184.8
09-26-2023,187.44
09-27-2023,188.01
09-28-2023,189.71
09-29-2023,189.69
09-30-2023,191.45
10-01-2023,190.64
10-02-2023,191.31
10-03-2023,189.97
10-04-2023,189.79
10-05-2023,190.4
10-06-2023,189.37
10-07-2023,189.95
10-08-2023,191.24
10-09-2023,189.43
10-10-2023,193.42
10-11-2023,192.32
10-12-2023,194.27
10-13-2023,195.71
10-14-2023,193.18
10-15-2023,194.71
10-16-2023,197.96
10-17-2023,198.11
10-18-2023,197.57
10-19-2023,195.89
10-20-2023,196.94
10-21-2023,194.83
10-22-2023,194.68
10-23-2023,193.6
10-24-2023,193.05
10-25-2023,193.15
10-26-2023,193.58
10-27-2023,192.53
10-28-2023,185.64
10-29-2023,184.25
10-30-2023,181.91
10-31-2023,181.18
11-01-2023,185.56
11-02-2023,185.14
11-03-2023,186.19
11-04-2023,185.59
11-05-2023,185.92
11-06-2023,183.63
11-07-2023,182.68
11-08-2023,188.63
11-09-2023,191.56
11-10-2023,193.89
11-11-2023,195.18
11-12-2023,194.5
11-13-2023,194.17
11-14-2023,192.42
11-15-2023,191.73
11-16-2023,188.04
11-17-2023,184.4
11-18-2023,186.86
11-19-2023,185.85
11-20-2023,187.68
11-21-2023,189.3
11-22-2023,189.41
11-23-2023,188.32
11-24-2023,188.85
11-25-2023,187.15
11-26-2023,185.04
11-27-2023,184.15
11-28-2023,183.86
11-29-2023,182.31
11-30-2023,181.56
12-01-2023,182.32
12-02-2023,184.37
12-03-2023,182.52
12-04-2023,181.16
12-05-2023,182.63
12-06-2023,181.42
12-07-2023,180.75
12-08-2023,179.66
12-09-2023,175.1
12-10-2023,170.12
12-11-2023,169.12
12-12-2023,169
12-13-2023,170.73
12-14-2023,172.75
12-15-2023,173.23
12-16-2023,171.13
12-17-2023,173
12-18-2023,172.62
12-19-2023,173.72
12-20-2023,176.08
12-21-2023,178.67
12-22-2023,171.37
12-23-2023,172.28
12-24-2023,170.85
12-25-2023,169.71
12-26-2023,173.31
12-27-2023,171.48
12-28-2023,170.03
12-29-2023,168.84
12-30-2023,169.65
12-31-2023,168.82
01-01-2024,169.58
01-02-2024,168.45
01-03-2024,169.67
01-04-2024,167.78
01-05-2024,175.04
01-06-2024,176.55
01-07-2024,172.69
01-08-2024,169.38
01-09-2024,168
01-10-2024,167.04
01-11-2024,165
01-12-2024,165.84
01-13-2024,166.9
01-14-2024,169.02
01-15-2024,169.89
01-16-2024,169.3
01-17-2024,173.5
01-18-2024,170.33
01-19-2024,169.3
01-20-2024,173.03
01-21-2024,183.38
01-22-2024,181.71
01-23-2024,182.4
01-24-2024,182.74
01-25-2024,184.57
01-26-2024,183.05
01-27-2024,186.28
01-28-2024,187.43
01-29-2024,189.72
01-30-2024,189.84
01-31-2024,189.87
02-01-2024,191.04
02-02-2024,192.35
02-03-2024,190.9
02-04-2024,186.88
02-05-2024,189.98
02-06-2024,189.99
02-07-2024,190.29
02-08-2024,191.29
02-09-2024,192.25
